age,Graduated,marital,Profession,defaulter,loan,CustGender,state,Transaction mount,CustAccountBalance,Annual Income,Spending Score (1-100),Housing,Saving accounts,Checking account,Credit amount,Duration,Purpose,Atm Used PM,Credit Card PM,credit card repayment in days,Credit_Limit,Work_Experience,Spending_Score,Family_Size
59,No,married,Healthcare,no,no,M,Illinois,50,285.76,65,32,own,little,NA,426,6,Home Appliances,7,2,80,1843,1,Low,2
39,Yes,married,Artist,unknown,no,M,Washington,100,20986.66,112,69,rent,rich,rich,409,12,Home Appliances,4,7,24,22913,10,Average,5
54,Yes,single,Artist,unknown,no,M,Arizona,79,969436.12,95,63,own,little,moderate,2415,7,Home Appliances,4,2,94,13002,14,Low,1
55,No,married,Artist,unknown,unknown,M,California,45,,59,31,own,little,little,6836,60,business,3,1,70,4502,2,Low,2
46,Yes,married,Artist,no,no,F,California,67,298461.05,94,69,own,rich,moderate,1913,18,business,2,1,47,7178,14,Low,4
59,No,married,Doctor,no,no,F,Illinois,55,6384.54,77,47,own,little,little,4020,24,Home loan,2,0,91,19865,10,Low,5
49,No,married,Healthcare,no,no,F,Washington,44,57791.69,64,50,own,moderate,moderate,5866,18,car,2,2,71,4159,4,Low,6
54,No,married,Homemaker,unknown,no,F,Arizona,58,123781.9,64,28,rent,NA,NA,1264,12,business,4,1,65,4729,5,Low,3
54,No,divorced,Lawyer,no,no,M,California,106,39.73,113,68,own,little,rich,1474,12,Home loan,4,0,60,22189,14,High,1
55,Yes,married,Healthcare,unknown,no,M,California,73,11791.25,75,59,own,little,moderate,4746,45,Home Appliances,3,0,96,2741,9,Low,6
34,No,married,Doctor,no,no,F,California,48,213.06,68,24,free,little,NA,6110,48,education,4,3,88,1905,1,Low,4
52,No,married,Healthcare,no,no,F,Illinois,74,44627.73,97,45,own,little,rich,2100,18,Home Appliances,0,1,70,15199,14,Average,4
41,Yes,married,Artist,no,no,M,Washington,61,113238.74,88,65,own,little,rich,1225,10,domestic appliances,6,0,25,19172,8,Low,3
56,Yes,married,Artist,no,no,M,Arizona,81,2477.42,109,73,own,little,moderate,458,9,Home Appliances,6,3,0,20010,,Average,2
58,Yes,unknown,Artist,no,no,M,California,87,58406.7,95,71,own,quite rich,NA,2333,30,Home Appliances,4,7,12,19367,14,Low,3
32,No,married,Healthcare,no,no,M,California,32,5810.82,61,50,own,quite rich,moderate,1158,12,Home Appliances,7,4,22,1663,0,Low,6
38,Yes,single,Artist,no,no,F,California,80,12545.18,105,61,own,little,moderate,6204,18,repairs,4,2,79,22483,13,Low,2
57,Yes,married,Artist,no,yes,M,Illinois,60,10630.88,88,63,rent,moderate,little,6187,30,car,5,7,6,5636,10,Low,4
44,No,married,Engineer,unknown,no,M,Massachusetts,53,282455.64,68,32,free,little,little,6143,48,car,7,3,61,4376,1,Low,2
42,No,single,Lawyer,unknown,no,M,Washington,98,1589.43,124,66,own,little,NA,1393,11,car,3,0,1,24788,,High,2
57,Yes,married,Artist,no,yes,M,Arizona,90,5055.18,94,67,own,quite rich,NA,2299,36,Home Appliances,8,6,56,7674,13,Average,3
40,Yes,married,Healthcare,no,yes,M,California,77,25222.91,87,53,rent,quite rich,little,1352,6,car,7,5,5,15573,,Low,5
35,No,married,Healthcare,no,no,M,California,42,2162.36,62,27,own,little,NA,7228,11,car,4,2,69,2440,3,Low,2
45,Yes,married,Engineer,no,no,M,California,63,22525.66,80,58,own,moderate,NA,2073,12,Home Appliances,9,6,81,16148,10,Low,4
54,No,married,Artist,no,no,F,California,78,298357.41,101,52,own,NA,moderate,2333,24,Home loan,3,2,19,20347,12,Average,6
39,Yes,married,Artist,no,yes,M,Illinois,86,9956.49,95,68,own,little,moderate,5965,27,car,7,3,33,18002,10,Average,6
60,Yes,married,Artist,no,no,M,Massachusetts,51,2058.42,84,60,own,little,NA,1262,12,Home Appliances,3,0,64,17771,6,Low,6
53,Yes,single,Entertainment,no,no,F,Washington,95,8842.13,130,72,own,NA,NA,3378,18,car,1,3,17,30966,11,Average,3
55,No,married,Marketing,unknown,no,M,Arizona,54,196.83,55,42,free,little,moderate,2225,36,car,4,3,42,4342,0,Low,3
55,Yes,married,Artist,unknown,no,M,California,83,17070.89,112,69,own,NA,NA,783,6,car,5,2,11,20094,14,Average,3
50,Yes,married,Healthcare,unknown,yes,M,California,80,2502.74,77,62,own,NA,moderate,6468,12,Home Appliances,4,1,72,7334,9,Low,3
45,,married,Doctor,unknown,no,M,California,37,91.66,102,,own,little,NA,9566,36,Home Appliances,5,1,41,20629,14,Low,2
55,Yes,married,Artist,unknown,yes,M,California,82,947.23,101,73,own,little,rich,1961,18,car,5,0,51,22425,11,Average,5
25,Yes,single,Lawyer,no,no,M,Illinois,77,10253.21,92,74,rent,little,little,6229,36,Home loan,3,0,47,9255,11,Low,1
47,Yes,married,Artist,unknown,no,M,Massachusetts,72,27852.19,99,75,own,little,moderate,1391,9,business,3,3,42,13486,13,Average,5
51,Yes,married,Artist,no,no,F,Washington,70,13138.22,114,67,own,NA,moderate,1537,15,Home Appliances,3,0,43,24237,12,Average,5
42,Yes,married,Lawyer,unknown,no,M,Arizona,104,250.26,117,87,free,little,moderate,1953,36,business,3,1,91,23692,14,High,3
42,Yes,married,Lawyer,unknown,no,M,California,106,10067.44,116,84,own,little,moderate,14421,48,business,3,1,74,22790,13,High,5
48,Yes,married,Lawyer,no,no,F,California,116,23952.37,135,85,own,little,NA,3181,24,Home Appliances,3,2,41,33510,14,High,6
37,Yes,married,Entertainment,no,no,M,California,67,26387.17,97,51,own,NA,NA,5190,27,repairs,6,2,53,6009,13,Low,5
44,Yes,single,Doctor,no,no,F,California,88,224685.48,103,87,own,little,NA,2171,12,Home Appliances,4,3,34,24418,10,Average,2
33,No,married,Artist,no,no,M,Illinois,32,13968.07,54,40,own,rich,moderate,1007,12,car,5,7,98,2825,0,Low,4
56,Yes,married,Artist,no,no,F,Massachusetts,100,395743.6,117,63,free,little,NA,1819,36,education,1,2,66,20044,10,Average,5
44,Yes,single,Homemaker,unknown,yes,F,Washington,107,87884.2,139,87,own,NA,NA,2394,36,Home Appliances,4,0,30,30344,,High,3
41,Yes,married,Healthcare,no,no,M,Arizona,67,5511.73,78,56,own,little,NA,8133,36,car,7,0,44,17981,8,Low,4
44,Yes,divorced,Entertainment,no,no,M,California,107,21291.71,100,85,rent,NA,NA,730,7,Home Appliances,4,1,3,10046,13,Average,2
47,No,married,Artist,unknown,no,M,California,60,12903.39,88,52,free,little,little,1164,8,vacation/others,4,3,64,5461,9,Average,5
57,No,married,Healthcare,unknown,no,M,California,34,20.63,59,29,own,little,moderate,5954,42,business,4,2,62,3100,4,Low,2
37,Yes,married,Artist,unknown,no,F,California,83,5922.11,101,63,own,NA,little,1977,36,education,2,2,17,20994,11,Average,5
41,No,divorced,Homemaker,unknown,no,M,Illinois,62,2.75,79,4,free,little,little,1526,12,car,2,0,48,17410,6,Low,3
55,Yes,married,Doctor,no,no,M,Massachusetts,52,134698.04,75,52,own,little,little,3965,42,Home Appliances,5,3,79,1852,7,Low,5
33,No,married,Artist,unknown,no,M,Washington,33,15448.95,62,35,own,little,moderate,4771,11,Home Appliances,3,2,78,3311,3,Low,5
55,Yes,married,Engineer,unknown,no,M,Wisconsin,85,27818.65,95,80,own,NA,NA,9436,54,car,6,2,51,7413,11,Average,4
42,Yes,married,,unknown,no,M,Arizona,69,257966.29,88,51,own,little,moderate,3832,30,Home loan,5,3,59,18015,10,Low,3
50,No,married,Healthcare,unknown,no,M,California,42,6190.71,55,32,own,NA,NA,5943,24,Home Appliances,6,3,87,3232,2,Low,5
51,No,married,Healthcare,unknown,unknown,F,California,34,34574.86,78,27,own,quite rich,NA,1213,15,Home Appliances,3,0,7,17330,9,Low,2
38,Yes,married,Artist,unknown,no,M,California,72,8797.55,78,64,rent,moderate,NA,1568,18,business,7,6,89,12762,6,Low,6
49,No,married,Entertainment,unknown,no,F,California,63,2988.21,74,56,own,little,little,1755,24,vacation/others,2,2,40,3827,9,Average,5
38,No,single,Marketing,no,yes,M,Illinois,60,21868.16,68,23,own,little,little,2315,10,Home Appliances,2,0,71,4835,5,Low,2
31,No,divorced,Healthcare,no,no,M,Massachusetts,53,13421.46,86,20,own,little,NA,1412,12,business,3,0,58,8620,8,Low,3
41,Yes,married,Artist,no,no,F,Washington,76,1942.83,96,64,own,little,moderate,1295,18,Home loan,5,1,22,19610,10,Average,4
39,Yes,married,Artist,no,yes,M,Wisconsin,64,23302.14,96,54,free,moderate,moderate,12612,36,education,9,7,70,12416,14,Low,4
49,No,married,Entertainment,no,no,F,Arizona,33,1880.1,64,26,own,moderate,little,2249,18,car,4,3,14,2495,5,Low,3
34,No,married,Doctor,no,no,M,California,74,121767.71,110,52,own,little,little,1108,12,repairs,4,2,12,20867,12,Average,3
35,Yes,married,Entertainment,no,no,M,California,54,6584.77,100,59,own,little,NA,618,12,Home Appliances,5,2,98,13401,13,Low,2
57,Yes,married,Artist,unknown,no,F,California,99,100371.41,97,76,own,little,little,1409,12,car,3,2,13,6750,11,Average,3
60,Yes,married,Artist,unknown,yes,M,California,101,35990.54,110,79,own,NA,NA,797,12,Home Appliances,7,3,35,23335,10,High,6
33,No,married,Entertainment,no,no,M,Illinois,50,7330.62,54,35,rent,NA,rich,3617,24,Home loan,3,3,80,4348,5,Low,2
42,No,married,Artist,no,yes,M,Massachusetts,60,98097.5,66,44,own,rich,moderate,1318,12,car,3,9,16,2938,1,Low,6
45,Yes,married,Artist,no,no,M,Washington,87,4001.86,110,67,rent,little,moderate,15945,54,business,6,0,34,22456,,Average,4
42,Yes,married,Artist,no,no,M,Wisconsin,57,78.33,100,65,own,NA,NA,2012,12,education,7,2,97,6178,14,Low,2
53,Yes,divorced,Artist,unknown,no,M,Arizona,123,14916.95,140,82,own,moderate,moderate,2622,18,business,5,5,0,29947,10,High,3
37,Yes,single,Doctor,no,no,F,California,99,62706.81,101,77,own,little,moderate,2337,36,Home Appliances,4,0,7,22992,12,Average,2
44,No,married,Engineer,no,no,F,California,77,22588.09,97,47,rent,NA,moderate,7057,20,car,0,2,35,7613,10,Average,2
54,Yes,married,Artist,no,no,F,California,97,37588.84,116,68,rent,moderate,NA,1469,24,car,0,1,87,23441,12,Average,3
49,No,married,Executive,no,no,M,California,78,96.2,112,65,rent,little,moderate,2323,36,Home Appliances,7,2,57,23775,11,High,6
54,No,married,Artist,no,no,M,Illinois,49,31121.47,77,50,own,little,NA,932,6,Home Appliances,3,1,2,18652,8,Low,2
52,No,divorced,Executive,no,no,F,Massachusetts,105,2298.51,107,65,rent,little,moderate,1919,9,Home loan,4,1,87,23074,12,High,2
52,Yes,divorced,Healthcare,no,no,F,Washington,80,77587.52,92,80,rent,NA,NA,2445,12,car,2,0,80,18817,10,Low,2
43,No,single,Doctor,unknown,no,M,Wisconsin,63,76185.83,73,13,own,little,moderate,11938,24,vacation/others,4,0,47,4049,6,Low,1
34,Yes,married,Homemaker,no,no,M,Arizona,80,3214.87,94,60,own,little,NA,6458,18,car,6,2,11,10882,10,Low,6
35,No,married,Lawyer,no,no,M,California,34,755133.35,50,21,own,little,moderate,6078,12,car,6,1,48,2884,3,Low,3
42,No,married,Healthcare,unknown,no,M,California,51,27388.25,57,48,own,NA,little,7721,24,Home loan,6,2,86,3788,2,Low,5
43,No,married,Healthcare,unknown,yes,M,California,54,27552.35,51,41,own,quite rich,moderate,1410,14,business,6,4,77,2619,5,Low,5
60,Yes,divorced,Entertainment,unknown,no,M,California,77,40664.53,106,79,own,moderate,moderate,1449,6,business,4,7,51,22095,,Low,1
58,Yes,married,Artist,unknown,no,M,Illinois,63,12.01,101,62,rent,little,rich,392,15,education,7,1,36,21098,10,Low,4
35,Yes,divorced,Doctor,no,no,F,Massachusetts,77,116592.57,102,60,rent,little,moderate,6260,18,car,2,1,61,22367,11,Low,1
55,Yes,married,Artist,unknown,no,M,Washington,71,8588.5,100,57,own,little,NA,7855,36,car,5,0,14,14172,11,Low,6
37,Yes,married,Executive,no,no,M,Wisconsin,106,33.01,117,83,own,quite rich,little,1680,12,Home Appliances,8,5,73,23332,13,High,6
36,No,married,Executive,no,no,M,Arizona,76,172.63,102,54,own,NA,NA,3578,48,Home Appliances,5,2,83,24892,11,Average,3
52,No,divorced,Lawyer,no,no,M,California,67,139144.83,81,25,own,NA,little,7174,42,Home Appliances,2,3,57,10067,10,Low,1
57,Yes,divorced,Artist,unknown,no,F,California,76,75348.06,109,62,rent,NA,little,2132,10,Home loan,1,2,61,20876,14,Low,2
56,No,married,,no,no,M,California,39,241139.36,54,26,own,quite rich,little,4281,33,Home loan,5,4,73,2955,2,Low,3
48,Yes,divorced,Artist,unknown,no,M,California,117,6023.36,129,84,own,quite rich,moderate,2366,12,car,3,6,66,32205,12,High,2
40,Yes,married,Executive,unknown,no,M,California,90,654.36,122,73,own,little,little,1835,21,Home Appliances,6,3,67,22754,10,High,6
49,No,divorced,Executive,no,no,M,Illinois,106,140830.97,115,67,rent,little,NA,3868,24,car,3,0,4,20779,11,High,1
41,No,married,Engineer,no,no,M,Massachusetts,60,23541.54,102,58,rent,little,NA,1768,12,Home loan,6,1,84,21094,11,Average,4
45,Yes,married,Healthcare,no,no,M,Washington,72,5337.59,75,59,free,little,rich,781,10,car,4,3,42,3136,10,Low,2
32,No,married,Entertainment,no,yes,F,Wisconsin,46,51939.21,50,39,rent,NA,moderate,1924,18,Home loan,2,1,6,3575,5,Low,6
42,No,married,Marketing,no,yes,M,Arizona,43,87839.68,63,43,own,little,little,2121,12,car,3,2,86,2673,4,Low,4
50,No,married,Engineer,no,no,M,California,32,122636.69,62,23,own,little,little,701,12,Home Appliances,5,3,0,1636,2,Low,4
31,Yes,divorced,Artist,no,yes,M,California,87,12.54,100,87,own,little,moderate,639,12,repairs,2,2,73,19001,10,Average,3
56,Yes,married,Engineer,no,no,F,California,72,923.01,76,66,own,little,moderate,1860,12,car,0,3,59,11667,8,Low,3
41,Yes,married,Entertainment,unknown,no,M,California,58,440199.11,110,59,own,little,little,3499,12,car,7,2,56,21302,13,Low,6
37,Yes,married,Executive,no,yes,M,California,108,11850.45,114,70,own,NA,moderate,8487,48,car,7,1,52,24530,10,High,6
41,Yes,married,Lawyer,unknown,no,M,Illinois,113,25963.21,127,76,own,little,little,6887,36,education,4,0,42,25827,12,High,5
35,No,married,Healthcare,no,no,M,Massachusetts,30,19.83,80,44,own,little,NA,2708,15,Home loan,4,2,97,18833,7,Low,5
37,Yes,married,Artist,no,no,F,Washington,59,65486.49,91,66,free,little,NA,1984,18,Home loan,2,3,37,17985,,Low,5
52,Yes,married,Engineer,no,no,M,Wisconsin,105,171927.54,128,71,own,moderate,NA,10144,60,Home Appliances,5,7,78,25138,10,High,6
39,No,divorced,Executive,no,no,M,Arizona,63,32855.8,85,2,own,NA,NA,1240,12,Home Appliances,3,2,43,8918,7,Low,3
39,No,married,Artist,unknown,no,F,California,44,12783.53,55,36,own,rich,NA,8613,27,car,3,3,27,3540,,Low,3
56,Yes,married,Artist,unknown,no,M,California,72,3186.2,109,66,own,quite rich,moderate,766,12,Home Appliances,5,5,61,24861,14,Low,4
34,No,married,Marketing,no,no,M,California,51,22771.72,61,23,own,NA,moderate,2728,15,Home Appliances,6,3,2,4260,5,Low,2
45,Yes,married,Artist,unknown,no,F,California,77,20594.64,107,67,rent,little,rich,1881,12,Home Appliances,3,2,61,23361,11,Low,6
43,Yes,single,Engineer,no,no,M,California,87,22880.95,102,72,own,rich,rich,709,6,car,6,6,77,24471,10,Average,3
56,Yes,married,Artist,no,no,F,Illinois,87,35790.14,95,65,own,little,moderate,4795,36,Home Appliances,3,0,74,14514,14,Average,6
39,Yes,married,Doctor,no,no,M,Massachusetts,72,45299.78,76,67,own,little,little,3416,27,Home Appliances,3,2,40,15439,9,Low,4
53,No,married,Lawyer,no,no,M,Texas,60,1551.84,64,25,own,little,little,2462,18,Home loan,6,1,36,4754,1,Low,5
38,No,divorced,Engineer,unknown,no,M,Washington,69,228872.29,84,34,own,little,NA,2288,21,Home loan,3,3,19,18254,7,Average,1
42,No,married,Marketing,unknown,no,M,Wisconsin,33,43555.69,62,44,own,moderate,moderate,3566,48,business,10,7,14,3359,2,Low,6
42,No,married,Engineer,unknown,no,M,Arizona,65,4402.08,73,48,own,little,little,860,6,car,7,3,51,1880,6,Average,5
35,Yes,single,Lawyer,no,no,M,California,74,54033.57,90,68,own,moderate,NA,682,12,car,7,5,31,10739,10,Low,1
40,Yes,married,Healthcare,unknown,no,M,California,75,179.99,104,53,own,little,little,5371,36,Home loan,5,3,58,22026,12,Low,6
51,Yes,married,Artist,no,no,M,California,80,29436.97,93,63,own,rich,NA,1582,18,Home Appliances,2,7,100,13553,13,Average,4
60,No,married,Lawyer,unknown,no,M,California,78,12010.4,101,57,free,moderate,NA,1346,6,Home Appliances,6,7,55,22997,13,High,4
56,No,married,Engineer,unknown,no,M,California,59,700,60,35,own,little,NA,1924,10,Home Appliances,6,2,48,3887,1,Low,3
39,Yes,divorced,Engineer,unknown,no,F,Illinois,90,43375.42,112,83,own,little,rich,5848,36,Home Appliances,4,1,37,24135,10,Average,2
56,Yes,married,Artist,unknown,no,M,Massachusetts,73,8111.52,111,80,rent,rich,moderate,7758,24,car,2,9,27,23171,10,Average,3
40,Yes,married,Healthcare,no,yes,M,Texas,60,4311.29,89,63,rent,moderate,moderate,6967,24,business,8,7,84,8983,6,Low,5
36,Yes,married,Marketing,no,yes,M,Washington,74,2495.98,90,66,rent,little,little,1282,12,Home loan,5,1,54,13452,10,Low,3
51,No,married,Executive,unknown,no,M,Wisconsin,60,156103.2,59,48,own,moderate,little,1288,9,repairs,8,7,31,2542,4,Low,6
51,Yes,married,Artist,unknown,no,M,Arizona,88,2502.37,109,70,own,little,little,339,12,education,3,1,39,20819,14,Average,2
43,Yes,single,Lawyer,no,no,M,California,109,12.97,121,92,own,moderate,moderate,3512,24,car,5,8,23,22300,13,High,2
59,Yes,married,Artist,no,no,F,California,88,20892.73,105,73,own,NA,NA,1898,6,Home Appliances,1,0,26,20876,14,Average,2
24,Yes,single,Artist,no,no,M,California,70,191276.9,105,63,own,moderate,NA,2872,24,Home Appliances,4,5,33,20653,14,Low,3
37,Yes,single,Healthcare,unknown,yes,F,California,73,21756.67,91,71,own,little,NA,1055,18,car,0,1,52,14661,10,Low,2
40,No,married,Executive,unknown,no,M,California,68,5.37,73,59,own,quite rich,NA,1262,15,domestic appliances,6,5,68,1866,8,Average,3
42,No,married,Healthcare,unknown,no,M,Illinois,48,24824.83,60,26,free,little,moderate,7308,10,car,3,1,75,4893,0,Low,2
39,Yes,divorced,Doctor,unknown,no,M,Massachusetts,84,171.65,101,87,own,quite rich,NA,909,36,car,3,6,81,20076,10,Average,1
37,Yes,married,Artist,no,no,F,Texas,88,5391.22,115,75,own,quite rich,NA,2978,6,Home loan,4,3,95,22183,14,Average,3
38,Yes,married,Homemaker,no,yes,M,Washington,87,43571.2,93,77,own,little,little,1131,18,Home loan,4,1,39,13808,10,Average,5
56,Yes,divorced,Artist,unknown,no,F,Wisconsin,70,116584.57,100,71,own,rich,moderate,1577,11,Home loan,7,7,31,13799,12,Low,3
40,Yes,married,Artist,no,no,M,Arizona,64,51694.63,70,58,rent,little,NA,3972,24,Home loan,4,1,15,4493,6,Low,3
54,No,divorced,Artist,no,no,M,California,64,119.47,101,55,own,little,moderate,1935,24,business,4,0,27,24510,11,Average,1
43,Yes,married,Artist,unknown,yes,M,California,74,0.74,82,53,rent,little,little,950,15,car,4,1,34,8730,8,Low,3
36,Yes,married,Executive,unknown,no,F,California,108,63972.18,132,84,own,little,NA,763,12,Home loan,3,4,7,25541,11,High,4
45,Yes,married,Lawyer,no,yes,F,California,57,9526.7,73,68,own,little,moderate,2064,24,Home loan,0,1,30,4828,7,Low,3
42,Yes,single,Artist,unknown,no,F,California,90,75889.12,90,73,own,little,moderate,1414,8,Home Appliances,2,1,68,14242,10,Low,1
43,Yes,married,Lawyer,no,no,M,Illinois,101,41319.3,127,70,own,little,little,3414,21,education,4,1,77,32979,14,High,4
46,Yes,married,Artist,no,no,M,Massachusetts,91,8.49,90,66,own,NA,NA,7485,30,car,7,0,38,7702,14,Average,6
44,No,married,Engineer,no,yes,,Texas,56,8512.28,54,46,own,little,little,2577,12,Home loan,2,3,20,3139,1,Low,3
51,No,single,Healthcare,no,no,M,Washington,58,3042.12,71,11,own,quite rich,little,338,6,Home Appliances,6,5,41,4390,6,Low,3
28,No,married,Healthcare,no,no,F,Wisconsin,36,27940.79,73,50,rent,little,NA,1963,12,Home Appliances,2,2,54,4614,6,Low,3
37,Yes,married,Engineer,no,no,M,Arizona,61,190073.86,70,60,own,little,little,571,21,car,3,2,17,2669,9,Low,2
34,Yes,married,Artist,no,no,M,California,86,10074.33,93,70,own,little,NA,9572,36,business,5,3,67,13797,10,Average,5
46,No,married,Entertainment,unknown,no,F,California,60,8179.54,92,45,own,little,moderate,4455,36,business,4,2,100,9783,,Average,5
42,Yes,married,Artist,no,yes,M,California,68,9702.54,106,68,own,NA,little,1647,21,car,6,1,90,21628,,Low,6
36,Yes,married,Artist,no,no,M,California,79,11.98,107,79,own,rich,NA,3777,24,Home loan,3,10,45,24251,13,Average,2
54,Yes,married,Artist,unknown,no,F,California,56,4597.56,94,53,own,little,moderate,884,18,car,4,0,43,5531,10,Low,4
57,Yes,married,Artist,no,no,M,Illinois,55,407935.95,110,70,own,little,NA,1360,15,Home Appliances,4,0,32,20576,,Low,4
51,No,married,Lawyer,unknown,no,M,Massachusetts,45,556731.79,69,41,free,little,moderate,5129,9,car,4,3,80,2008,,Low,5
54,No,married,Doctor,unknown,no,M,Texas,38,22660.58,80,32,free,little,moderate,1175,16,car,7,3,15,7497,10,Low,2
49,No,married,Engineer,unknown,no,M,Washington,66,5738.43,94,45,own,moderate,little,674,12,Home Appliances,5,6,28,16850,12,Average,2
34,Yes,married,Artist,no,no,M,Wisconsin,72,17449.33,105,65,own,little,moderate,3244,18,Home loan,5,0,17,24589,14,Low,5
41,Yes,married,Artist,no,no,M,Arizona,76,114.92,96,66,own,rich,NA,4591,24,business,2,10,64,13068,10,Average,3
38,Yes,single,Artist,no,no,M,California,83,0.7,95,78,free,moderate,moderate,3844,48,business,4,8,94,18151,10,Low,3
45,No,divorced,Executive,no,no,M,California,56,26239,60,2,own,little,moderate,3915,27,business,3,3,5,4801,4,Low,1
42,Yes,married,Artist,no,no,M,California,75,133203.58,109,62,rent,little,NA,2108,6,Home Appliances,6,2,89,22580,,Average,3
34,Yes,single,Artist,unknown,no,M,California,87,359.23,109,67,rent,moderate,moderate,3031,45,Home Appliances,7,5,53,21091,13,Low,2
48,Yes,married,Executive,no,no,M,California,77,268685.24,101,75,own,little,moderate,1501,9,education,6,1,40,21778,14,Average,4
37,Yes,married,Artist,unknown,no,M,Illinois,83,1130141.97,91,72,own,little,NA,1382,6,Home Appliances,5,2,93,5433,11,Average,6
34,Yes,single,Artist,unknown,no,M,Massachusetts,100,1223.92,144,95,rent,moderate,moderate,951,12,Home loan,3,5,19,27541,13,High,3
40,Yes,married,Executive,unknown,no,M,Nebraska,54,28758.9,76,56,free,NA,moderate,2760,24,car,3,0,58,18791,9,Low,2
43,No,married,Artist,no,no,M,Texas,73,10492.25,91,58,own,little,moderate,4297,18,Home loan,5,0,66,10216,12,Average,5
33,Yes,married,Healthcare,no,no,M,Washington,53,1123.68,97,63,own,quite rich,NA,936,9,education,9,7,43,15327,10,Low,4
32,No,single,Healthcare,no,no,M,Wisconsin,51,4546.07,80,18,own,little,little,1168,12,car,4,2,54,17105,8,Low,2
39,No,married,Engineer,no,no,F,Arizona,70,104.57,92,41,own,little,NA,5117,27,business,4,1,31,17398,13,Average,4
43,Yes,married,Healthcare,no,no,M,California,80,33661.57,81,63,rent,little,little,902,12,education,5,1,58,12066,6,Low,5
44,Yes,married,Entertainment,no,no,M,California,67,1133.27,90,57,own,little,NA,1495,12,car,6,2,23,6341,13,Low,4
