age,Graduated,marital,Profession,defaulter,loan,CustGender,state,TransactionAmount (INR),CustAccountBalance,Annual Income,Spending Score (1-100),Housing,Saving accounts,Checking account,Credit amount,Duration,Purpose,Atm Used PM,Credit Card PM,credit card repayment in days,Credit_Limit,Work_Experience,Spending_Score,Family_Size
50,Yes,married,Healthcare,unknown,yes,M,California,1008.63,2502.74,77,62,own,NA,moderate,6468,12,Home Appliances,4,1,72,2802,9,Low,4
45,,married,Doctor,unknown,no,M,California,110,91.66,102,,own,little,NA,9566,36,Home Appliances,5,1,41,4458,8,Low,2
55,Yes,married,Artist,unknown,yes,M,California,726,947.23,101,73,own,little,rich,1961,18,car,5,0,51,6273,1,Average,3
25,Yes,single,Lawyer,no,no,M,Illinois,4387,10253.21,92,74,rent,little,little,6229,36,Home loan,3,0,47,3336,1,Low,
47,Yes,married,Artist,unknown,no,M,Massachusetts,1500,27852.19,99,75,own,little,moderate,1391,9,business,3,3,42,3436,0,Average,2
51,Yes,married,Artist,no,no,F,Washington,412.2,13138.22,114,67,own,NA,moderate,1537,15,Home Appliances,3,0,43,34516,9,Average,2
42,Yes,married,Lawyer,unknown,no,M,Arizona,60,250.26,117,87,free,little,moderate,1953,36,business,3,1,91,5926,0,High,3
42,Yes,married,Lawyer,unknown,no,M,California,262,10067.44,116,84,own,little,moderate,14421,48,business,3,1,74,23957,1,High,2
48,Yes,married,Lawyer,no,no,F,California,35,23952.37,135,85,own,little,NA,3181,24,Home Appliances,3,2,41,14734,7,High,2
37,Yes,married,Entertainment,no,no,M,California,1,26387.17,97,51,own,NA,NA,5190,27,repairs,6,2,53,34516,0,Low,2
44,Yes,single,Doctor,no,no,F,California,339.92,224685.48,103,87,own,little,NA,2171,12,Home Appliances,4,3,34,6584,0,Average,2
33,No,married,Artist,no,no,M,Illinois,101,13968.07,54,40,own,rich,moderate,1007,12,car,5,7,98,2084,8,Low,4
56,Yes,married,Artist,no,no,F,Massachusetts,9746.5,395743.6,117,63,free,little,NA,1819,36,education,1,2,66,1687,0,Average,4
44,Yes,single,Homemaker,unknown,yes,F,Washington,142,87884.2,139,87,own,NA,NA,2394,36,Home Appliances,4,0,30,25300,,High,2
41,Yes,married,Healthcare,no,no,M,Arizona,6259.72,5511.73,78,56,own,little,NA,8133,36,car,7,0,44,34516,8,Low,2
44,Yes,divorced,Entertainment,no,no,M,California,213,21291.71,100,85,rent,NA,NA,730,7,Home Appliances,4,1,3,2216,8,Average,2
47,No,married,Artist,unknown,no,M,California,666,12903.39,88,52,free,little,little,1164,8,vacation/others,4,3,64,2910,0,Average,5
57,No,married,Healthcare,unknown,no,M,California,3998,20.63,59,29,own,little,moderate,5954,42,business,4,2,62,22913,8,Low,4
37,Yes,married,Artist,unknown,no,F,California,507,5922.11,101,63,own,NA,little,1977,36,education,2,2,17,24312,0,Average,4
41,No,divorced,Homemaker,unknown,no,M,Illinois,800,2.75,79,4,free,little,little,1526,12,car,2,0,48,5272,0,Low,3
55,Yes,married,Doctor,no,no,M,Massachusetts,467,134698.04,75,52,own,little,little,3965,42,Home Appliances,5,3,79,7000,0,Low,2
33,No,married,Artist,unknown,no,M,Washington,98,15448.95,62,35,own,little,moderate,4771,11,Home Appliances,3,2,78,7038,4,Low,3
55,Yes,married,Engineer,unknown,no,M,Wisconsin,57,27818.65,95,80,own,NA,NA,9436,54,car,6,2,51,2536,2,Average,2
42,Yes,married,,unknown,no,M,Arizona,195.64,257966.29,88,51,own,little,moderate,3832,30,Home loan,5,3,59,28904,1,Low,1
50,No,married,Healthcare,unknown,no,M,California,878,6190.71,55,32,own,NA,NA,5943,24,Home Appliances,6,3,87,8567,0,Low,4
51,No,married,Healthcare,unknown,unknown,F,California,326,34574.86,78,27,own,quite rich,NA,1213,15,Home Appliances,3,0,7,34516,6,Low,3
38,Yes,married,Artist,unknown,no,M,California,2997.02,8797.55,78,64,rent,moderate,NA,1568,18,business,7,6,89,2158,8,Low,1
49,No,married,Entertainment,unknown,no,F,California,1642,2988.21,74,56,own,little,little,1755,24,vacation/others,2,2,40,10133,8,Average,4
38,No,single,Marketing,no,yes,M,Illinois,500,21868.16,68,23,own,little,little,2315,10,Home Appliances,2,0,71,34516,1,Low,3
31,No,divorced,Healthcare,no,no,M,Massachusetts,11,13421.46,86,20,own,little,NA,1412,12,business,3,0,58,3085,7,Low,5
41,Yes,married,Artist,no,no,F,Washington,28,1942.83,96,64,own,little,moderate,1295,18,Home loan,5,1,22,19040,0,Average,3
39,Yes,married,Artist,no,yes,M,Wisconsin,2200,23302.14,96,54,free,moderate,moderate,12612,36,education,9,7,70,4026,5,Low,2
49,No,married,Entertainment,no,no,F,Arizona,1499,1880.1,64,26,own,moderate,little,2249,18,car,4,3,14,12756,7,Low,3
34,No,married,Doctor,no,no,M,California,288,121767.71,110,52,own,little,little,1108,12,repairs,4,2,12,5266,0,Average,2
35,Yes,married,Entertainment,no,no,M,California,100,6584.77,100,59,own,little,NA,618,12,Home Appliances,5,2,98,9930,0,Low,3
57,Yes,married,Artist,unknown,no,F,California,4000,100371.41,97,76,own,little,little,1409,12,car,3,2,13,31302,1,Average,4
60,Yes,married,Artist,unknown,yes,M,California,930,35990.54,110,79,own,NA,NA,797,12,Home Appliances,7,3,35,6576,1,High,2
33,No,married,Entertainment,no,no,M,Illinois,2813.62,7330.62,54,35,rent,NA,rich,3617,24,Home loan,3,3,80,2664,1,Low,2
42,No,married,Artist,no,yes,M,Massachusetts,787.98,98097.5,66,44,own,rich,moderate,1318,12,car,3,9,16,2535,0,Low,1
45,Yes,married,Artist,no,no,M,Washington,96,4001.86,110,67,rent,little,moderate,15945,54,business,6,0,34,1709,,Average,1
42,Yes,married,Artist,no,no,M,Wisconsin,179,78.33,100,65,own,NA,NA,2012,12,education,7,2,97,3454,0,Low,1
53,Yes,divorced,Artist,unknown,no,M,Arizona,830,14916.95,140,82,own,moderate,moderate,2622,18,business,5,5,0,3789,0,High,2
37,Yes,single,Doctor,no,no,F,California,3380,62706.81,101,77,own,little,moderate,2337,36,Home Appliances,4,0,7,9689,1,Average,2
44,No,married,Engineer,no,no,F,California,810,22588.09,97,47,rent,NA,moderate,7057,20,car,0,2,35,5449,3,Average,3
54,Yes,married,Artist,no,no,F,California,1473.5,37588.84,116,68,rent,moderate,NA,1469,24,car,0,1,87,23032,0,Average,4
49,No,married,Executive,no,no,M,California,1897,96.2,112,65,rent,little,moderate,2323,36,Home Appliances,7,2,57,34516,1,High,7
54,No,married,Artist,no,no,M,Illinois,974,31121.47,77,50,own,little,NA,932,6,Home Appliances,3,1,2,2940,0,Low,3
52,No,divorced,Executive,no,no,F,Massachusetts,50,2298.51,107,65,rent,little,moderate,1919,9,Home loan,4,1,87,3031,0,High,5
52,Yes,divorced,Healthcare,no,no,F,Washington,500,77587.52,92,80,rent,NA,NA,2445,12,car,2,0,80,1862,10,Low,2
43,No,single,Doctor,unknown,no,M,Wisconsin,1826,76185.83,73,13,own,little,moderate,11938,24,vacation/others,4,0,47,8358,1,Low,2
34,Yes,married,Homemaker,no,no,M,Arizona,2898.78,3214.87,94,60,own,little,NA,6458,18,car,6,2,11,34516,3,Low,2
35,No,married,Lawyer,no,no,M,California,1803,755133.35,50,21,own,little,moderate,6078,12,car,6,1,48,14450,1,Low,1
42,No,married,Healthcare,unknown,no,M,California,205,27388.25,57,48,own,NA,little,7721,24,Home loan,6,2,86,1438.3,6,Low,5
43,No,married,Healthcare,unknown,yes,M,California,164,27552.35,51,41,own,quite rich,moderate,1410,14,business,6,4,77,33791,9,Low,3
60,Yes,divorced,Entertainment,unknown,no,M,California,2245.95,40664.53,106,79,own,moderate,moderate,1449,6,business,4,7,51,8466,,Low,4
58,Yes,married,Artist,unknown,no,M,Illinois,59,12.01,101,62,rent,little,rich,392,15,education,7,1,36,15088,0,Low,1
35,Yes,divorced,Doctor,no,no,F,Massachusetts,1480,116592.57,102,60,rent,little,moderate,6260,18,car,2,1,61,3263,1,Low,
55,Yes,married,Artist,unknown,no,M,Washington,1,8588.5,100,57,own,little,NA,7855,36,car,5,0,14,1494,1,Low,1
37,Yes,married,Executive,no,no,M,Wisconsin,40,33.01,117,83,own,quite rich,little,1680,12,Home Appliances,8,5,73,13551,0,High,3
36,No,married,Executive,no,no,M,Arizona,599,172.63,102,54,own,NA,NA,3578,48,Home Appliances,5,2,83,18886,8,Average,4
52,No,divorced,Lawyer,no,no,M,California,2066.74,139144.83,81,25,own,NA,little,7174,42,Home Appliances,2,3,57,11976,1,Low,1
57,Yes,divorced,Artist,unknown,no,F,California,250,75348.06,109,62,rent,NA,little,2132,10,Home loan,1,2,61,9964,0,Low,2
56,No,married,,no,no,M,California,25,241139.36,54,26,own,quite rich,little,4281,33,Home loan,5,4,73,24159,2,Low,7
48,Yes,divorced,Artist,unknown,no,M,California,478,6023.36,129,84,own,quite rich,moderate,2366,12,car,3,6,66,5362,1,High,2
40,Yes,married,Executive,unknown,no,M,California,1000,654.36,122,73,own,little,little,1835,21,Home Appliances,6,3,67,34516,0,High,3
49,No,divorced,Executive,no,no,M,Illinois,895,140830.97,115,67,rent,little,NA,3868,24,car,3,0,4,3174,1,High,4
41,No,married,Engineer,no,no,M,Massachusetts,500,23541.54,102,58,rent,little,NA,1768,12,Home loan,6,1,84,12262,9,Average,4
45,Yes,married,Healthcare,no,no,M,Washington,385,5337.59,75,59,free,little,rich,781,10,car,4,3,42,3788,1,Low,3
32,No,married,Entertainment,no,yes,F,Wisconsin,457,51939.21,50,39,rent,NA,moderate,1924,18,Home loan,2,1,6,34516,9,Low,2
42,No,married,Marketing,no,yes,M,Arizona,1747,87839.68,63,43,own,little,little,2121,12,car,3,2,86,2926,1,Low,2
50,No,married,Engineer,no,no,M,California,60,122636.69,62,23,own,little,little,701,12,Home Appliances,5,3,0,32090,0,Low,
31,Yes,divorced,Artist,no,yes,M,California,200,12.54,100,87,own,little,moderate,639,12,repairs,2,2,73,11669,0,Average,2
56,Yes,married,Engineer,no,no,F,California,25,923.01,76,66,own,little,moderate,1860,12,car,0,3,59,13532,0,Low,2
41,Yes,married,Entertainment,unknown,no,M,California,127,440199.11,110,59,own,little,little,3499,12,car,7,2,56,11888,8,Low,5
37,Yes,married,Executive,no,yes,M,California,1150,11850.45,114,70,own,NA,moderate,8487,48,car,7,1,52,2393,9,High,5
41,Yes,married,Lawyer,unknown,no,M,Illinois,155,25963.21,127,76,own,little,little,6887,36,education,4,0,42,6111,0,High,2
35,No,married,Healthcare,no,no,M,Massachusetts,40,19.83,80,44,own,little,NA,2708,15,Home loan,4,2,97,19270,6,Low,4
37,Yes,married,Artist,no,no,F,Washington,250,65486.49,91,66,free,little,NA,1984,18,Home loan,2,3,37,3710,,Low,1
52,Yes,married,Engineer,no,no,M,Wisconsin,150,171927.54,128,71,own,moderate,NA,10144,60,Home Appliances,5,7,78,3235,1,High,2
39,No,divorced,Executive,no,no,M,Arizona,75,32855.8,85,2,own,NA,NA,1240,12,Home Appliances,3,2,43,11749,5,Low,5
39,No,married,Artist,unknown,no,F,California,50,12783.53,55,36,own,rich,NA,8613,27,car,3,3,27,7753,,Low,2
56,Yes,married,Artist,unknown,no,M,California,10885,3186.2,109,66,own,quite rich,moderate,766,12,Home Appliances,5,5,61,10408,3,Low,4
34,No,married,Marketing,no,no,M,California,530.6,22771.72,61,23,own,NA,moderate,2728,15,Home Appliances,6,3,2,3967,8,Low,4
45,Yes,married,Artist,unknown,no,F,California,555,20594.64,107,67,rent,little,rich,1881,12,Home Appliances,3,2,61,6205,4,Low,4
43,Yes,single,Engineer,no,no,M,California,5757,22880.95,102,72,own,rich,rich,709,6,car,6,6,77,8025,0,Average,2
56,Yes,married,Artist,no,no,F,Illinois,777,35790.14,95,65,own,little,moderate,4795,36,Home Appliances,3,0,74,9036,0,Average,5
39,Yes,married,Doctor,no,no,M,Massachusetts,2124,45299.78,76,67,own,little,little,3416,27,Home Appliances,3,2,40,14926,0,Low,3
53,No,married,Lawyer,no,no,M,Texas,20,1551.84,64,25,own,little,little,2462,18,Home loan,6,1,36,6335,1,Low,
38,No,divorced,Engineer,unknown,no,M,Washington,405.52,228872.29,84,34,own,little,NA,2288,21,Home loan,3,3,19,14979,0,Average,5
42,No,married,Marketing,unknown,no,M,Wisconsin,355,43555.69,62,44,own,moderate,moderate,3566,48,business,10,7,14,2732,8,Low,5
42,No,married,Engineer,unknown,no,M,Arizona,245,4402.08,73,48,own,little,little,860,6,car,7,3,51,2250,9,Average,2
35,Yes,single,Lawyer,no,no,M,California,360,54033.57,90,68,own,moderate,NA,682,12,car,7,5,31,10916,1,Low,1
40,Yes,married,Healthcare,unknown,no,M,California,955,179.99,104,53,own,little,little,5371,36,Home loan,5,3,58,5349,7,Low,4
51,Yes,married,Artist,no,no,M,California,70,29436.97,93,63,own,rich,NA,1582,18,Home Appliances,2,7,100,9366,6,Average,3
60,No,married,Lawyer,unknown,no,M,California,299,12010.4,101,57,free,moderate,NA,1346,6,Home Appliances,6,7,55,21617,0,High,9
56,No,married,Engineer,unknown,no,M,California,1500,700,60,35,own,little,NA,1924,10,Home Appliances,6,2,48,13860,0,Low,1
39,Yes,divorced,Engineer,unknown,no,F,Illinois,1986.5,43375.42,112,83,own,little,rich,5848,36,Home Appliances,4,1,37,18386,0,Average,2
56,Yes,married,Artist,unknown,no,M,Massachusetts,1274,8111.52,111,80,rent,rich,moderate,7758,24,car,2,9,27,2405,2,Average,2
40,Yes,married,Healthcare,no,yes,M,Texas,149,4311.29,89,63,rent,moderate,moderate,6967,24,business,8,7,84,2154,0,Low,4
36,Yes,married,Marketing,no,yes,M,Washington,110,2495.98,90,66,rent,little,little,1282,12,Home loan,5,1,54,2038,8,Low,4
51,No,married,Executive,unknown,no,M,Wisconsin,2297,156103.2,59,48,own,moderate,little,1288,9,repairs,8,7,31,8135,1,Low,1
51,Yes,married,Artist,unknown,no,M,Arizona,170,2502.37,109,70,own,little,little,339,12,education,3,1,39,9364,3,Average,4
43,Yes,single,Lawyer,no,no,M,California,101,12.97,121,92,own,moderate,moderate,3512,24,car,5,8,23,32643,1,High,2
59,Yes,married,Artist,no,no,F,California,1665,20892.73,105,73,own,NA,NA,1898,6,Home Appliances,1,0,26,3195,3,Average,3
24,Yes,single,Artist,no,no,M,California,217,191276.9,105,63,own,moderate,NA,2872,24,Home Appliances,4,5,33,2852,1,Low,1
37,Yes,single,Healthcare,unknown,yes,F,California,500,21756.67,91,71,own,little,NA,1055,18,car,0,1,52,4224,1,Low,5
40,No,married,Executive,unknown,no,M,California,1020,5.37,73,59,own,quite rich,NA,1262,15,domestic appliances,6,5,68,20459,0,Average,5
42,No,married,Healthcare,unknown,no,M,Illinois,5000,24824.83,60,26,free,little,moderate,7308,10,car,3,1,75,3482,1,Low,5
39,Yes,divorced,Doctor,unknown,no,M,Massachusetts,300,171.65,101,87,own,quite rich,NA,909,36,car,3,6,81,3065,0,Average,2
37,Yes,married,Artist,no,no,F,Texas,1800,5391.22,115,75,own,quite rich,NA,2978,6,Home loan,4,3,95,2185,5,Average,3
38,Yes,married,Homemaker,no,yes,M,Washington,2074,43571.2,93,77,own,little,little,1131,18,Home loan,4,1,39,1611,9,Average,3
56,Yes,divorced,Artist,unknown,no,F,Wisconsin,210,116584.57,100,71,own,rich,moderate,1577,11,Home loan,7,7,31,2822,0,Low,5
40,Yes,married,Artist,no,no,M,Arizona,100,51694.63,70,58,rent,little,NA,3972,24,Home loan,4,1,15,32975,0,Low,3
54,No,divorced,Artist,no,no,M,California,500,119.47,101,55,own,little,moderate,1935,24,business,4,0,27,1438.3,2,Average,2
43,Yes,married,Artist,unknown,yes,M,California,100,0.74,82,53,rent,little,little,950,15,car,4,1,34,15875,3,Low,5
36,Yes,married,Executive,unknown,no,F,California,451,63972.18,132,84,own,little,NA,763,12,Home loan,3,4,7,6703,0,High,2
45,Yes,married,Lawyer,no,yes,F,California,100,9526.7,73,68,own,little,moderate,2064,24,Home loan,0,1,30,3212,0,Low,2
42,Yes,single,Artist,unknown,no,F,California,599,75889.12,90,73,own,little,moderate,1414,8,Home Appliances,2,1,68,34516,5,Low,2
43,Yes,married,Lawyer,no,no,M,Illinois,825,41319.3,127,70,own,little,little,3414,21,education,4,1,77,9797,0,High,2
46,Yes,married,Artist,no,no,M,Massachusetts,80,8.49,90,66,own,NA,NA,7485,30,car,7,0,38,10400,3,Average,4
44,No,married,Engineer,no,yes,,Texas,3449,8512.28,54,46,own,little,little,2577,12,Home loan,2,3,20,26792,11,Low,1
51,No,single,Healthcare,no,no,M,Washington,2830.5,3042.12,71,11,own,quite rich,little,338,6,Home Appliances,6,5,41,3006,2,Low,6
28,No,married,Healthcare,no,no,F,Wisconsin,1328.72,27940.79,73,50,rent,little,NA,1963,12,Home Appliances,2,2,54,19482,4,Low,3
37,Yes,married,Engineer,no,no,M,Arizona,50,190073.86,70,60,own,little,little,571,21,car,3,2,17,3356,8,Low,1
34,Yes,married,Artist,no,no,M,California,8.99,10074.33,93,70,own,little,NA,9572,36,business,5,3,67,5771,7,Average,2
46,No,married,Entertainment,unknown,no,F,California,456,8179.54,92,45,own,little,moderate,4455,36,business,4,2,100,11106,,Average,5
42,Yes,married,Artist,no,yes,M,California,2580,9702.54,106,68,own,NA,little,1647,21,car,6,1,90,2890,,Low,1
36,Yes,married,Artist,no,no,M,California,2117,11.98,107,79,own,rich,NA,3777,24,Home loan,3,10,45,3380,4,Average,4
54,Yes,married,Artist,unknown,no,F,California,64,4597.56,94,53,own,little,moderate,884,18,car,4,0,43,21331,1,Low,1
57,Yes,married,Artist,no,no,M,Illinois,500,407935.95,110,70,own,little,NA,1360,15,Home Appliances,4,0,32,12860,,Low,2
51,No,married,Lawyer,unknown,no,M,Massachusetts,26991,556731.79,69,41,free,little,moderate,5129,9,car,4,3,80,6278,,Low,
54,No,married,Doctor,unknown,no,M,Texas,851,22660.58,80,32,free,little,moderate,1175,16,car,7,3,15,1438.3,1,Low,3
49,No,married,Engineer,unknown,no,M,Washington,600,5738.43,94,45,own,moderate,little,674,12,Home Appliances,5,6,28,9355,4,Average,2
34,Yes,married,Artist,no,no,M,Wisconsin,306,17449.33,105,65,own,little,moderate,3244,18,Home loan,5,0,17,20758,0,Low,2
41,Yes,married,Artist,no,no,M,Arizona,390,114.92,96,66,own,rich,NA,4591,24,business,2,10,64,14612,1,Average,3
38,Yes,single,Artist,no,no,M,California,150,0.7,95,78,free,moderate,moderate,3844,48,business,4,8,94,27259,5,Low,2
45,No,divorced,Executive,no,no,M,California,380,26239,60,2,own,little,moderate,3915,27,business,3,3,5,6347,8,Low,2
42,Yes,married,Artist,no,no,M,California,100000,133203.58,109,62,rent,little,NA,2108,6,Home Appliances,6,2,89,21592,,Average,4
34,Yes,single,Artist,unknown,no,M,California,60,359.23,109,67,rent,moderate,moderate,3031,45,Home Appliances,7,5,53,3449,7,Low,2
48,Yes,married,Executive,no,no,M,California,1220,268685.24,101,75,own,little,moderate,1501,9,education,6,1,40,6028,1,Average,3
37,Yes,married,Artist,unknown,no,M,Illinois,614,1130141.97,91,72,own,little,NA,1382,6,Home Appliances,5,2,93,18214,0,Average,2
34,Yes,single,Artist,unknown,no,M,Massachusetts,69,1223.92,144,95,rent,moderate,moderate,951,12,Home loan,3,5,19,16393,1,High,5
40,Yes,married,Executive,unknown,no,M,Nebraska,980,28758.9,76,56,free,NA,moderate,2760,24,car,3,0,58,1438.3,1,Low,2
43,No,married,Artist,no,no,M,Texas,148,10492.25,91,58,own,little,moderate,4297,18,Home loan,5,0,66,7871,4,Average,2
33,Yes,married,Healthcare,no,no,M,Washington,440,1123.68,97,63,own,quite rich,NA,936,9,education,9,7,43,5288,0,Low,3
32,No,single,Healthcare,no,no,M,Wisconsin,148,4546.07,80,18,own,little,little,1168,12,car,4,2,54,11376,9,Low,3
39,No,married,Engineer,no,no,F,Arizona,2134.4,104.57,92,41,own,little,NA,5117,27,business,4,1,31,12302,6,Average,8
